specialization_id,specialization_name,text,skill,occupational_cluster,job_relevance_label,skill_coverage_label,occupational_affinity_label,market_weight,evidence_count,affinity_score,gold_count,silver_count,bronze_count,taxonomy_count,source_confidence_score,curriculum_overlap_score,market_frequency_score,cluster_centrality_score,recommendation_candidate,job_relevance_soft_label,skill_coverage_soft_label,training_weight,probabilistic_confidence
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,Python Enterprise Analytics high Administrador de Aplicaciones (Oracle / WebLogic / Middleware) Administrador de Aplicaciones (Oracle / WebLogic / Middleware) 100% Remoto Administrador de Plataformas Analista Funcional de Procesos de Software Analista Funcional de Procesos de Software Híbrido Analista de Proyectos Aprendiz en Desarrollo de Software Desarrollador Backend .NET Senior (hibrido) Skill presente directamente en microcurriculos o perfil curricular. Mantener cobertura curricular y fortalecer evidencia evaluable si el mercado confirma frecuencia alta.,Python,Enterprise Analytics,highly_relevant,covered,Enterprise Analytics,139.1,282,0.82,1,100,100,81,1.0,0.82,1.0,1.0,0,1.0,1.0,1.0,1.0
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,SQL Enterprise Analytics high Administrador de Aplicaciones (Oracle / WebLogic / Middleware) Administrador de Aplicaciones (Oracle / WebLogic / Middleware) 100% Remoto Administrador de Bases de Datos (DBA) Administrador de Bases de Datos (DBA) Híbrido Analista de Proyectos CS3 SAS Desarrollador Frontend Desarrollador FullStack Skill presente directamente en microcurriculos o perfil curricular. Mantener cobertura curricular y fortalecer evidencia evaluable si el mercado confirma frecuencia alta.,SQL,Enterprise Analytics,highly_relevant,covered,Enterprise Analytics,89.7,204,0.82,0,63,63,78,1.0,0.82,0.6449,1.0,0,1.0,1.0,1.0,1.0
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,comunicacion Enterprise Analytics weak Administrador Linux Administrador Linux Híbrido Administrador de Aplicaciones (Oracle / WebLogic / Middleware) Administrador de Aplicaciones (Oracle / WebLogic / Middleware) 100% Remoto Administrador de Bases de Datos (DBA) Administrador de Bases de Datos (DBA) Híbrido Administrador de Plataformas Administrador de Plataformas de Virtualización Skill con baja relacion semantica frente al grafo curricular de la especializacion. No priorizar curricularmente por baja afinidad o evidencia debil.,comunicacion,Enterprise Analytics,weak_signal,irrelevant,Enterprise Analytics,79.4,206,0.08,0,0,147,59,1.0,0.08,0.5708,1.0,0,0.158,0.0,0.6632,0.4106
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,dashboarding BI & Visualization high Administrador de Aplicaciones (Oracle / WebLogic / Middleware) Administrador de Aplicaciones (Oracle / WebLogic / Middleware) 100% Remoto Administrador de Plataformas Aprendiz en Desarrollo de Software Desarrollador Backend .NET Senior (hibrido) Desarrollador Backend .NET Senior (hibrido) Híbrido Desarrollador Java Desarrollador Java 100% Remoto Skill presente directamente en microcurriculos o perfil curricular. Mantener cobertura curricular y fortalecer evidencia evaluable si el mercado confirma frecuencia alta.,dashboarding,BI & Visualization,highly_relevant,covered,BI & Visualization,75.9,156,0.82,1,54,54,47,1.0,0.82,0.5457,1.0,0,1.0,1.0,1.0,1.0
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,KPIs Reporting & KPI high Administrador Linux Administrador Linux Híbrido Administrador de Plataformas Administrador de Servidores de Aplicaciones Analista de Proyectos Confidencial2 Desarrollador Backend .NET Senior (hibrido) Desarrollador Backend .NET Senior (hibrido) Híbrido Skill presente directamente en microcurriculos o perfil curricular. Mantener cobertura curricular y fortalecer evidencia evaluable si el mercado confirma frecuencia alta.,KPIs,Reporting & KPI,highly_relevant,covered,Reporting & KPI,72.4,187,0.82,1,48,48,90,1.0,0.82,0.5205,1.0,0,1.0,1.0,1.0,1.0
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,security Enterprise Analytics weak Administrador Linux Administrador Linux Híbrido Administrador de Aplicaciones (Oracle / WebLogic / Middleware) Administrador de Aplicaciones (Oracle / WebLogic / Middleware) 100% Remoto Administrador de Bases de Datos (DBA) Administrador de Bases de Datos (DBA) Híbrido Administrador de Plataformas Administrador de Plataformas de Virtualización Skill con baja relacion semantica frente al grafo curricular de la especializacion. No priorizar curricularmente por baja afinidad o evidencia debil.,security,Enterprise Analytics,weak_signal,irrelevant,Enterprise Analytics,71.6,160,0.08,0,0,139,21,1.0,0.08,0.5147,1.0,0,0.158,0.0,0.6632,0.4106
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,"Azure Cloud Analytics weak Administrador Linux Administrador Linux Híbrido Administrador de Aplicaciones (Oracle / WebLogic / Middleware) Administrador de Aplicaciones (Oracle / WebLogic / Middleware) 100% Remoto Administrador de Bases de Datos (DBA) Administrador de Bases de Datos (DBA) Híbrido Administrador de Plataformas Administrador de Servidores de Aplicaciones Skill laboral relevante para el ecosistema de Visual Analytics y Big Data, pero sin cobertura curricular directa. No priorizar curricularmente por baja afinidad o evidencia debil.",Azure,Cloud Analytics,weak_signal,irrelevant,Cloud Analytics,71.1,171,0.55,0,0,135,36,1.0,0.55,0.5111,1.0,0,0.205,0.0,0.682,0.4435
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,"AWS Cloud Analytics weak Administrador Linux Administrador Linux Híbrido Administrador de Aplicaciones (Oracle / WebLogic / Middleware) Administrador de Aplicaciones (Oracle / WebLogic / Middleware) 100% Remoto Administrador de Bases de Datos (DBA) Administrador de Bases de Datos (DBA) Híbrido Administrador de Plataformas Administrador de Plataformas de Virtualización Skill laboral relevante para el ecosistema de Visual Analytics y Big Data, pero sin cobertura curricular directa. No priorizar curricularmente por baja afinidad o evidencia debil.",AWS,Cloud Analytics,weak_signal,irrelevant,Cloud Analytics,69.3,165,0.55,0,0,132,33,1.0,0.55,0.4982,1.0,0,0.205,0.0,0.682,0.4435
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,AI AI Analytics high Analista Funcional de Procesos de Software Analista Funcional de Procesos de Software Híbrido Analista de Proyectos Crea tu cuenta de empresa Desarrollador Backend .NET Senior (hibrido) Desarrollador Backend .NET Senior (hibrido) Híbrido Especialista IA Especialista IA Híbrido Skill presente directamente en microcurriculos o perfil curricular. Mantener cobertura curricular y fortalecer evidencia evaluable si el mercado confirma frecuencia alta.,AI,AI Analytics,highly_relevant,covered,AI Analytics,63.0,177,0.82,1,40,41,95,1.0,0.82,0.4529,1.0,0,1.0,1.0,1.0,1.0
visual-analytics-big-data,Especialización en Visual Analytics y Big Data,APIs Software/Data Platform weak Acceso reclutador Administrador de Aplicaciones (Oracle / WebLogic / Middleware) Administrador de Aplicaciones (Oracle / WebLogic / Middleware) 100% Remoto Administrador de Bases de Datos (DBA) Administrador de Bases de Datos (DBA) Híbrido Administrador de Plataformas de Virtualización Analista Funcional de Procesos de Software Analista Funcional de Procesos de Software Híbrido Skill relacionada semanticamente con competencias o herramientas curriculares. Profundizar APIs como capacidad aplicada dentro del cluster Software/Data Platform.,APIs,Software/Data Platform,partially_relevant,partial,Software/Data Platform,61.1,151,0.75,0,0,115,36,1.0,0.75,0.4393,1.0,1,0.545,0.62,0.818,0.6815
