source_role,target_role,similarity_score,transition_probability,shared_skills,cluster_affinity,centrality_score,evidence
Administrador de Servidores de Aplicaciones,Aprendiz en Desarrollo de Software,1.0,0.867,"[""APIs"", ""AWS"", ""Agile"", ""Azure"", ""BI"", ""MongoDB"", ""Oracle"", ""Python""]",Enterprise Analytics,0.6,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Aprendiz en Desarrollo de Software""]}"
Administrador de Servidores de Aplicaciones,Ejecutivo Comercial TI,1.0,0.867,"[""AI"", ""APIs"", ""AWS"", ""Agile"", ""Azure"", ""ELT"", ""KPIs"", ""Kanban""]",AI Analytics,0.59,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Ejecutivo Comercial TI""]}"
Administrador de Servidores de Aplicaciones,Indra Colombia LTDA,1.0,0.867,"[""AI"", ""APIs"", ""Agile"", ""Azure"", ""Copilot BI"", ""ELT"", ""Kanban"", ""LLM""]",AI Analytics,0.58,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Indra Colombia LTDA""]}"
Administrador de Servidores de Aplicaciones,Técnico de Soporte,1.0,0.867,"[""AWS"", ""BI"", ""ITIL"", ""Oracle"", ""Power BI"", ""compliance"", ""comunicacion"", ""reporting""]",Enterprise Analytics,0.58,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Técnico de Soporte""]}"
Administrador de Servidores de Aplicaciones,Administrador Linux,1.0,0.867,"[""AWS"", ""Azure"", ""BI"", ""ITIL"", ""KPIs"", ""compliance"", ""comunicacion"", ""data governance""]",Enterprise Analytics,0.58,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Administrador Linux""]}"
Administrador de Servidores de Aplicaciones,Desarrollador Backend .NET Senior (hibrido),1.0,0.867,"[""AI"", ""APIs"", ""AWS"", ""Agile"", ""Azure"", ""BI"", ""ELT"", ""KPIs""]",Enterprise Analytics,0.58,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Desarrollador Backend .NET Senior (hibrido)""]}"
Administrador de Servidores de Aplicaciones,CS3 SAS,1.0,0.867,"[""APIs"", ""Azure"", ""ETL"", ""MongoDB"", ""SQL"", ""SQL Server"", ""SSIS"", ""comunicacion""]",Enterprise Analytics,0.58,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""CS3 SAS""]}"
Administrador de Servidores de Aplicaciones,Administrador de Aplicaciones (Oracle / WebLogic / Middleware),1.0,0.867,"[""APIs"", ""AWS"", ""Agile"", ""Azure"", ""Oracle"", ""Python"", ""SQL"", ""compliance""]",Enterprise Analytics,0.57,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Administrador de Aplicaciones (Oracle / WebLogic / Middleware)""]}"
Administrador de Servidores de Aplicaciones,Ingeniero Preventa - Administrador de Plataforma,1.0,0.867,"[""AWS"", ""Azure"", ""BI"", ""ITIL"", ""KPIs"", ""Power BI"", ""Python"", ""compliance""]",Enterprise Analytics,0.57,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Ingeniero Preventa - Administrador de Plataforma""]}"
Administrador de Servidores de Aplicaciones,Líder IA Generativa-GitHub Copilot-Bogotá,1.0,0.867,"[""AI"", ""APIs"", ""AWS"", ""Azure"", ""Copilot BI"", ""LLM"", ""Oracle"", ""PostgreSQL""]",AI Analytics,0.57,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Administrador de Servidores de Aplicaciones"", ""Líder IA Generativa-GitHub Copilot-Bogotá""]}"
