nombre_ies,codigo_ies,ies_padre,registro_unico,codigo_snies_programa,nombre_programa,estado_programa,nivel_academico,modalidad,reconocimiento_ministerio,municipio,departamento,metodologia,area_conocimiento,nucleo_basico_conocimiento,creditos,duracion,periodicidad_admision,fecha_registro,fecha_vencimiento,url_detalle,raw_html,timestamp_extraccion,fuente
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,104809,ADMINISTRACIÓN AGROINDUSTRIAL,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Agronomía, veterinaria y afines",Agronomía,160.0,10,Semestral,2023-07-27,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.139480+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,103676,ADMINISTRACIÓN COMERCIAL Y FINANCIERA,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,160.0,10,Semestral,2014-09-07,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.139657+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,103672,ADMINISTRACIÓN DE SERVICIOS DE SALUD,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,160.0,10,Semestral,2014-09-07,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.139815+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,105122,ESPECIALIZACIÓN EN ALTA GERENCIA DE EMPRESAS,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,26.0,2,Semestral,2023-08-16,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.140045+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,118254,ESPECIALIZACIÓN EN AUDITORÍA DE LA CALIDAD EN SALUD,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,27.0,2,Semestral,2025-07-31,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.140335+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,102040,ESPECIALIZACIÓN EN DIDÁCTICA DE LA MATEMÁTICA PARA LA EDUCACIÓN BÁSICA,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,Ciencias de la educación,Educación,26.0,2,Semestral,2019-08-27,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.140594+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,105123,ESPECIALIZACIÓN EN GERENCIA DE EMPRESAS DE SALUD,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,26.0,2,Semestral,2023-07-27,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.140831+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,116173,ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS DE CONSTRUCCIÓN,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Ingeniería, arquitectura, urbanismo y afines",Ingeniería civil y afines,24.0,2,Semestral,2023-10-19,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.141059+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,105454,ESPECIALIZACIÓN EN GESTIÓN DE INTEGRIDAD Y CORROSIÓN,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería de minas, metalurgia y afines",24.0,2,Semestral,2023-12-04,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.141352+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,118263,ESPECIALIZACIÓN EN INGENIERÍA FERROVIARIA,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Ingeniería, arquitectura, urbanismo y afines",Otras ingenierías,24.0,2,Semestral,2025-06-20,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.141566+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,118238,ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,Matemáticas y ciencias naturales,"Matemáticas, estadística y afines",24.0,2,Semestral,2025-08-08,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.141759+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,118293,ESPECIALIZACIÓN EN MARKETING DIGITAL,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,27.0,2,Semestral,2025-10-23,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.142086+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,117969,ESPECIALIZACIÓN EN METALURGIA EXTRACTIVA SOSTENIBLE,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería de minas, metalurgia y afines",26.0,2,Semestral,2025-06-11,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.142310+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,107330,ESPECIALIZACIÓN EN PEDAGOGÍA DE LA LENGUA CASTELLANA Y LITERATURA,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,Ciencias de la educación,Educación,26.0,2,Semestral,2024-08-20,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.142455+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,1579,118015,LICENCIATURA EN EDUCACIÓN BÁSICA PRIMARIA,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,Ciencias de la educación,Educación,169.0,10,Semestral,2025-07-09,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.142592+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,106445,MAESTRÍA EN DIDÁCTICA DE LA MATEMÁTICA,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,Ciencias de la educación,Educación,44.0,4,Semestral,2024-01-17,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.142734+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,109666,MAESTRÍA EN GESTIÓN DE INTEGRIDAD Y CORROSIÓN,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería de minas, metalurgia y afines",48.0,4,Semestral,2020-12-29,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.143244+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,118305,MAESTRÍA EN PEDAGOGÍA DE LA LENGUA CASTELLANA Y LITERATURA,Activo,Posgrado,Virtual,Registro calificado,Tunja,Boyacá,,Ciencias de la educación,Educación,48.0,4,Semestral,2025-05-20,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.143389+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,103677,TÉCNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS DE SALUD,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,65.0,4,Semestral,2022-07-18,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.143515+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,103671,TÉCNICA PROFESIONAL EN PROCESOS COMERCIALES Y FINANCIEROS,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Economía,64.0,4,Semestral,2024-02-23,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.143641+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,104811,TÉCNICO PROFESIONAL EN PROCESOS AGROINDUSTRIALES,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Agronomía, veterinaria y afines",Agronomía,64.0,4,Semestral,2023-07-27,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.143763+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,54200,TECNOLOGIA DE PROGRAMACIÓN DE SISTEMAS INFORMATICOS,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería de sistemas, telemática y afines",96.0,6,Semestral,2023-07-26,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.143883+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,103678,TECNOLOGÍA EN GESTIÓN ADMINISTRATIVA DE SERVICIOS DE SALUD,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Administración,97.0,6,Semestral,2014-09-07,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.144007+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,104810,TECNOLOGÍA EN GESTIÓN AGROINDUSTRIAL,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Agronomía, veterinaria y afines",Agronomía,96.0,6,Semestral,2023-07-27,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.144164+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106,1106,,103675,TECNOLOGÍA EN GESTIÓN COMERCIAL Y FINANCIERA,Activo,Pregrado,Virtual,Registro calificado,Tunja,Boyacá,,"Economía, administración, contaduría y afines",Economía,96.0,6,Semestral,2014-09-07,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.144332+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1107,1106,,102498,ESPECIALIZACIÓN EN PLANIFICACIÓN DEL TURISMO SOSTENIBLE,Activo,Posgrado,Virtual,Registro calificado,Duitama,Boyacá,,"Economía, administración, contaduría y afines",Administración,24.0,2,Semestral,2019-12-18,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.144456+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1107,1106,,108518,MAESTRÍA EN INNOVACIÓN Y MARKETING TURÍSTICO,Activo,Posgrado,Virtual,Registro calificado,Duitama,Boyacá,,"Economía, administración, contaduría y afines",Administración,50.0,4,Anual,2019-11-13,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.144575+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,1111,1111,,110704,ESPECIALIZACIÓN EN ENSEÑANZA DE LA FÍSICA,Activo,Posgrado,Virtual,Registro calificado,Pereira,Risaralda,,Ciencias de la educación,Educación,25.0,2,Semestral,2021-10-29,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.144696+00:00,HECAA - Ministerio de Educación Nacional
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,1111,1111,,106767,ESPECIALIZACIÓN EN GESTIÓN AMBIENTAL LOCAL,Activo,Posgrado,Virtual,Registro calificado,Pereira,Risaralda,,"Ingeniería, arquitectura, urbanismo y afines","Ingeniería ambiental, sanitaria y afines",27.0,2,Por cohorte,2026-01-16,,https://hecaa.mineducacion.gov.co/consultaspublicas/programas,,2026-05-16T19:48:32.144817+00:00,HECAA - Ministerio de Educación Nacional
